X,B,CD4T,CD8T,G,Mo,NK,RBC
cg00874051,0.941433,0.613427,0.544248,0.058827,0.097803,0.386159,0.646204
cg00876273,0.069856,0.135016,0.136228,0.072245,0.069519,0.326103,0.111976
cg00902153,0.934828,0.190233,0.190873,0.135781,0.069967,0.741374,0.58691
cg00903584,0.299824,0.055851,0.085915,0.03617,0.055692,0.078231,0.058626
cg00908292,0.19309,0.23977,0.236919,0.366357,0.142871,0.597559,0.416474
cg00916899,0.056158,0.109293,0.076559,0.060203,0.062859,0.097806,0.352444
cg00917251,0.202041,0.047664,0.048839,0.168475,0.16623,0.354216,0.202957
cg00937359,0.815166,0.301104,0.377538,0.626689,0.645519,0.573971,0.27357
cg00974255,0.763116,0.085751,0.135222,0.550602,0.584585,0.148075,0.47737
cg01044025,0.831277,0.210424,0.42861,0.291906,0.493045,0.08304,0.565102
cg01054402,0.917961,0.115407,0.158927,0.103739,0.34503,0.578089,0.494571
cg01059398,0.87981,0.13319,0.591387,0.58949,0.303668,0.570146,0.267735
cg01119319,0.942352,0.770627,0.685143,0.556312,0.741881,0.190923,0.678195
cg01133215,0.05554,0.139737,0.109278,0.189388,0.187721,0.10397,0.432772
cg01156249,0.940328,0.294194,0.198193,0.048927,0.06247,0.558898,0.649605
cg01167274,0.04983,0.042745,0.04715,0.050559,0.049862,0.047982,0.228647
cg01182455,0.871115,0.076934,0.377222,0.54176,0.625257,0.26908,0.421015
cg01271455,0.21964,0.674672,0.475019,0.214236,0.211759,0.267121,0.234723
cg01365766,0.721316,0.274024,0.387013,0.474076,0.439917,0.415378,0.453538
cg01408486,0.226967,0.41618,0.5729,0.119428,0.08528,0.40155,0.147261
cg01419914,0.499022,0.472481,0.473888,0.482559,0.406668,0.794118,0.623254
cg01426808,0.600086,0.353292,0.230483,0.212177,0.311292,0.137157,0.371357
cg01447281,0.133596,0.071018,0.12634,0.063076,0.068909,0.639716,0.191224
cg01449715,0.042346,0.467474,0.297356,0.043857,0.042949,0.138972,0.153904
cg01481646,0.683466,0.05754,0.078865,0.354976,0.350556,0.17988,0.321791
cg01483139,0.386583,0.153942,0.145085,0.114848,0.09586,0.09656,0.150226
cg01557792,0.150894,0.135509,0.161899,0.046694,0.057708,0.447995,0.21327
cg01588224,0.872475,0.69624,0.718919,0.55528,0.65639,0.705434,0.545733
cg01589580,0.725147,0.48757,0.333453,0.114667,0.232972,0.053971,0.371752
cg01604601,0.051291,0.0325,0.035121,0.032817,0.035203,0.032762,0.282018
cg01624414,0.067401,0.173627,0.158328,0.126681,0.102964,0.542407,0.169864
cg01643441,0.297543,0.067621,0.05846,0.103339,0.099612,0.057706,0.145497
cg01653727,0.059789,0.073445,0.078808,0.09014,0.120997,0.308332,0.128679
cg01661567,0.786257,0.228412,0.157564,0.453495,0.545473,0.158771,0.611925
cg01700462,0.079236,0.313381,0.424629,0.048459,0.06443,0.766204,0.24463
cg01710351,0.090156,0.072138,0.135047,0.110205,0.103503,0.42786,0.196322
cg01715901,0.064442,0.092398,0.066543,0.072994,0.070896,0.061271,0.339243
cg01722297,0.530602,0.156803,0.136508,0.150832,0.160231,0.238147,0.809508
cg01749347,0.062424,0.074321,0.06656,0.091719,0.05828,0.070219,0.450262
cg01760983,0.116245,0.086308,0.071449,0.054669,0.059033,0.316129,0.130219
cg01787285,0.752523,0.102307,0.117351,0.457847,0.336842,0.143247,0.278246
cg01794103,0.05406,0.052067,0.04988,0.051914,0.065907,0.050647,0.261525
cg01803059,0.129221,0.19335,0.392515,0.092955,0.092812,0.166726,0.100761
cg01823541,0.392524,0.148591,0.137647,0.083112,0.100503,0.118729,0.111374
cg01832712,0.668416,0.392418,0.45923,0.035208,0.05695,0.081813,0.141032
cg01880463,0.088795,0.194533,0.282785,0.048761,0.063292,0.585225,0.203558
cg01919999,0.884912,0.594968,0.460739,0.208755,0.264509,0.358048,0.204195
cg01923089,0.285733,0.464354,0.657416,0.0793,0.083181,0.4534,0.269945
cg01968525,0.27177,0.295422,0.461929,0.049907,0.054942,0.226229,0.115612
cg01986630,0.229311,0.081096,0.136455,0.295077,0.482581,0.079381,0.237618
cg01994290,0.254383,0.215601,0.28977,0.107455,0.153803,0.443166,0.184171
cg02001279,0.866303,0.688317,0.657739,0.627856,0.623456,0.62352,0.423083
cg02003183,0.05653,0.05726,0.062437,0.113024,0.081469,0.102986,0.518492
cg02032125,0.909346,0.72653,0.747677,0.589892,0.320771,0.746379,0.653837
cg02053964,0.019495,0.022944,0.022559,0.021412,0.021348,0.018096,0.17766
cg02058870,0.381204,0.518752,0.68175,0.370282,0.381204,0.423934,0.339162
cg02068690,0.841163,0.27399,0.26374,0.559699,0.537666,0.229329,0.490735
cg02185052,0.132565,0.270948,0.278058,0.114971,0.118583,0.461728,0.136141
cg02192117,0.183161,0.103405,0.111005,0.118505,0.093732,0.386429,0.131497
cg02215357,0.652207,0.428092,0.468402,0.390088,0.478348,0.125472,0.453848
cg02224002,0.791679,0.526705,0.411588,0.563869,0.608492,0.485877,0.625723
cg02237342,0.038983,0.035614,0.033665,0.040485,0.100962,0.052121,0.4075
cg02243522,0.286252,0.299861,0.393723,0.696274,0.146655,0.466846,0.421898
cg02256631,0.078407,0.084044,0.086717,0.107592,0.101522,0.269573,0.093489
cg02277530,0.161679,0.168173,0.144164,0.189968,0.149028,0.074005,0.355826
cg02341571,0.786273,0.503908,0.574857,0.620363,0.572616,0.47082,0.56154
cg02343275,0.208204,0.387684,0.215382,0.135214,0.078957,0.063157,0.104419
cg02355868,0.041695,0.083196,0.045658,0.117127,0.052439,0.064028,0.309421
cg02358862,0.072987,0.079648,0.072871,0.073885,0.076441,0.08058,0.370453
cg02368508,0.034004,0.43788,0.463997,0.860453,0.319331,0.304168,0.514116
cg02391509,0.16357,0.172108,0.297057,0.142858,0.158372,0.625094,0.172884
cg02413874,0.06777,0.065642,0.074398,0.067285,0.082633,0.130736,0.281627
cg02499214,0.089973,0.050857,0.050338,0.076625,0.156691,0.109548,0.41319
cg02508743,0.073367,0.388776,0.431554,0.346861,0.344858,0.127736,0.65039
cg02522196,0.360793,0.143224,0.090503,0.049638,0.0499,0.185933,0.171141
cg02536838,0.228047,0.435831,0.597155,0.216868,0.17164,0.298056,0.219601
cg02549492,0.069302,0.117818,0.323937,0.066049,0.053811,0.060827,0.07039
cg02558026,0.162315,0.057059,0.04389,0.08371,0.157265,0.03383,0.41461
cg02593381,0.751302,0.471577,0.567602,0.545506,0.541644,0.566618,0.487317
cg02606840,0.943111,0.039869,0.042434,0.05338,0.097883,0.046896,0.593113
cg02609337,0.106356,0.062602,0.045082,0.052735,0.063719,0.044638,0.336591
cg02617388,0.249769,0.444456,0.480831,0.480609,0.504829,0.740486,0.50258
cg02716826,0.846539,0.476626,0.45472,0.634184,0.534642,0.674386,0.383142
cg02720566,0.088256,0.08371,0.088565,0.122235,0.23069,0.088575,0.401158
cg02734358,0.938798,0.61388,0.593712,0.720757,0.061168,0.151675,0.531347
cg02739870,0.067201,0.628663,0.79106,0.153409,0.126888,0.526193,0.41775
cg02757667,0.878493,0.500022,0.495877,0.570382,0.66432,0.293423,0.175238
cg02758236,0.074616,0.315867,0.535306,0.060805,0.063274,0.275852,0.076895
cg02766482,0.572837,0.321146,0.338648,0.211999,0.202846,0.403892,0.255374
cg02767068,0.699402,0.397147,0.367775,0.520366,0.52334,0.360691,0.485731
cg02779913,0.80817,0.416042,0.482061,0.037545,0.04082,0.151709,0.411101
cg02789362,0.620976,0.302895,0.344093,0.359479,0.452512,0.245152,0.276758
cg02835823,0.063791,0.268908,0.216429,0.757324,0.607168,0.190123,0.559119
cg02851793,0.47825,0.067839,0.055956,0.050659,0.055014,0.050879,0.11122
cg02855207,0.844678,0.252951,0.332538,0.570432,0.667058,0.497422,0.253344
cg02905828,0.148445,0.078938,0.074235,0.077572,0.074139,0.32623,0.082444
cg02916283,0.665813,0.102918,0.179179,0.651801,0.561909,0.871258,0.675039
cg02916962,0.081167,0.228085,0.180394,0.085675,0.092369,0.546891,0.110778
cg02929431,0.770192,0.233255,0.122078,0.514021,0.54583,0.100847,0.613715
cg02945192,0.074392,0.132994,0.195092,0.070857,0.077222,0.392886,0.177973
cg02947862,0.049147,0.048372,0.05129,0.050559,0.049478,0.047661,0.216343
cg02964555,0.180107,0.320038,0.280381,0.188988,0.180167,0.495119,0.214203
cg02971546,0.063962,0.204275,0.371794,0.06868,0.066729,0.077794,0.091317
cg03030757,0.229257,0.229511,0.403122,0.071481,0.104784,0.209402,0.064123
cg03050022,0.801657,0.628229,0.158947,0.358054,0.588559,0.182901,0.450409
cg03094728,0.436838,0.163262,0.120118,0.1371,0.135308,0.107205,0.663514
cg03169836,0.627819,0.461976,0.457999,0.396416,0.377654,0.141186,0.42684
cg03186440,0.086389,0.206137,0.234461,0.09149,0.091714,0.406722,0.144236
cg03188000,0.090448,0.073766,0.081128,0.577502,0.24149,0.13635,0.262156
cg03196485,0.887275,0.295936,0.074476,0.668123,0.609136,0.584057,0.649441
cg03217729,0.605182,0.07651,0.176406,0.155372,0.121198,0.290337,0.136053
cg03261800,0.909347,0.564387,0.546437,0.341034,0.347372,0.368776,0.25981
cg03272225,0.747343,0.039754,0.040454,0.040377,0.085476,0.039012,0.418295
cg03280108,0.130927,0.049317,0.060167,0.057625,0.059313,0.453704,0.146435
cg03288653,0.639925,0.343966,0.261541,0.106618,0.207349,0.2459,0.406931
cg03310376,0.068235,0.071497,0.067161,0.067183,0.067832,0.07539,0.322156
cg03313542,0.68479,0.531622,0.515495,0.404757,0.38609,0.270974,0.166822
cg03330490,0.029663,0.153133,0.139015,0.030562,0.034589,0.452756,0.097598
cg03370106,0.050214,0.049022,0.055638,0.052014,0.09012,0.255365,0.061761
cg03388409,0.86603,0.574542,0.580428,0.037571,0.225785,0.330798,0.55014
cg03396826,0.898291,0.690912,0.643743,0.293597,0.620516,0.111961,0.603211
cg03404662,0.102795,0.378921,0.221747,0.091183,0.10404,0.097462,0.104927
cg03427849,0.843234,0.432047,0.247812,0.689169,0.658914,0.244251,0.675824
cg03429643,0.930698,0.052265,0.053692,0.057105,0.06153,0.050232,0.451452
cg03432736,0.192366,0.206493,0.184736,0.191285,0.189314,0.367121,0.202298
cg03507593,0.728677,0.93398,0.752603,0.74555,0.371491,0.398012,0.692482
cg03527802,0.952468,0.362574,0.205174,0.501124,0.696323,0.512042,0.764007
cg03543954,0.032666,0.388054,0.543092,0.069874,0.050726,0.319156,0.082102
cg03548857,0.169759,0.172502,0.229086,0.056678,0.06004,0.660927,0.123247
cg03586240,0.160323,0.08716,0.277482,0.617456,0.66045,0.827558,0.209423
cg03603669,0.204192,0.129916,0.121241,0.121911,0.151027,0.11949,0.396751
cg03625911,0.82201,0.614191,0.626081,0.214484,0.643132,0.451373,0.422945
cg03636488,0.073146,0.090227,0.103762,0.254582,0.133694,0.167294,0.627762
cg03638781,0.107531,0.09203,0.084274,0.133409,0.119539,0.075046,0.546341
cg03699074,0.046528,0.158517,0.540761,0.268454,0.046546,0.329943,0.093242
cg03699843,0.786721,0.294636,0.210122,0.23068,0.195802,0.272437,0.158454
cg03720745,0.396405,0.409076,0.414723,0.390961,0.397509,0.574728,0.348051
cg03758011,0.082946,0.090983,0.091273,0.081314,0.085554,0.089923,0.330922
cg03771282,0.626775,0.084397,0.10908,0.528769,0.810173,0.528331,0.589154
cg03780927,0.199316,0.130156,0.099294,0.109255,0.115391,0.617371,0.129627
cg03792788,0.63582,0.431407,0.428562,0.451017,0.4591,0.424508,0.359723
cg03798942,0.860456,0.082882,0.215423,0.112531,0.610407,0.064878,0.403472
cg03835824,0.506486,0.736959,0.5792,0.486416,0.479158,0.576869,0.46461
cg03837680,0.063915,0.124498,0.201671,0.045616,0.063559,0.671368,0.34243
cg03844971,0.055442,0.054549,0.059828,0.055145,0.051895,0.340375,0.080025
cg03845363,0.506704,0.319372,0.212067,0.306178,0.28259,0.179091,0.184315
cg03846111,0.842431,0.660301,0.621941,0.354505,0.486066,0.417289,0.39527
cg03867607,0.450629,0.042953,0.045252,0.093058,0.08887,0.062978,0.29571
cg03872934,0.693083,0.29593,0.312007,0.375403,0.494575,0.362763,0.494924
cg03875678,0.753513,0.460994,0.337062,0.403403,0.238699,0.080745,0.362163
cg03889044,0.360915,0.073376,0.075769,0.877794,0.480055,0.447613,0.644435
cg03889263,0.729738,0.082625,0.096963,0.076464,0.08743,0.491137,0.216847
cg03907390,0.077905,0.09686,0.086622,0.113504,0.128932,0.477921,0.208355
cg03930153,0.855623,0.145563,0.096168,0.645962,0.611874,0.403025,0.244099
cg03987648,0.905125,0.510559,0.685363,0.710337,0.729862,0.731546,0.637189
cg03989617,0.166323,0.223813,0.336458,0.155086,0.148618,0.554338,0.184324
cg03992638,0.071335,0.504983,0.11562,0.09015,0.078978,0.059943,0.070175
cg04002794,0.37164,0.090367,0.172976,0.080333,0.125891,0.070456,0.083814
cg04012931,0.090585,0.04607,0.057371,0.043454,0.048776,0.257701,0.085406
cg04042861,0.784224,0.148766,0.188511,0.616484,0.592031,0.267852,0.597996
cg04052013,0.755344,0.418911,0.563963,0.49561,0.531312,0.295973,0.286916
cg04071779,0.260146,0.368719,0.541137,0.073122,0.109161,0.088569,0.198657
cg04102161,0.320487,0.260497,0.31894,0.278602,0.293685,0.533768,0.34066
cg04102510,0.048631,0.135814,0.077898,0.187158,0.058477,0.075038,0.364511
cg04110105,0.087503,0.07956,0.086894,0.064055,0.069908,0.371295,0.090062
cg04111102,0.339025,0.071314,0.097753,0.126974,0.11894,0.09435,0.088519
cg04111789,0.351696,0.063751,0.061859,0.066239,0.139234,0.070138,0.101845
cg04136456,0.066395,0.330076,0.090274,0.067073,0.065696,0.122274,0.06987
cg04136484,0.798302,0.27613,0.258305,0.534752,0.577415,0.537942,0.398512
cg04213163,0.846954,0.600874,0.527851,0.612627,0.683626,0.367951,0.618856
cg04273422,0.487584,0.211985,0.245905,0.061092,0.067917,0.271063,0.195894
cg04316353,0.436836,0.240728,0.231869,0.09139,0.107278,0.20824,0.251112
cg04340502,0.536441,0.299352,0.275472,0.21339,0.230346,0.19219,0.366769
cg04354393,0.091555,0.292298,0.500966,0.086576,0.089998,0.085564,0.085263
cg04391186,0.694309,0.528267,0.541988,0.46555,0.451054,0.431777,0.263419
cg04425617,0.04242,0.407291,0.594442,0.04766,0.048491,0.231231,0.15993
cg04441857,0.052455,0.152083,0.149789,0.048972,0.057742,0.053243,0.402022
cg04453471,0.341409,0.407224,0.423682,0.427509,0.660967,0.169707,0.418701
cg04464940,0.322545,0.073983,0.073875,0.145355,0.050374,0.078245,0.115453
cg04466898,0.056863,0.062918,0.062774,0.060955,0.054409,0.057842,0.478593
cg04467093,0.510409,0.327523,0.397968,0.483108,0.476794,0.75439,0.43696
cg04499151,0.056453,0.066776,0.066995,0.054746,0.05195,0.05398,0.217941
cg04514998,0.112567,0.221197,0.30833,0.166191,0.29139,0.097398,0.509508
cg04529938,0.218557,0.308714,0.51255,0.073134,0.076687,0.277242,0.137949
cg04630823,0.800824,0.070797,0.08689,0.579375,0.577181,0.211117,0.611003
cg04632069,0.058577,0.065156,0.10642,0.065613,0.064805,0.324367,0.080925
cg04681489,0.388728,0.114412,0.178038,0.046021,0.072756,0.075376,0.06619
cg04706201,0.543934,0.292721,0.302717,0.194191,0.150474,0.339769,0.264715
cg04718050,0.234861,0.117499,0.108624,0.500155,0.348619,0.161054,0.271734
cg04728978,0.714795,0.064397,0.132302,0.51332,0.517877,0.405987,0.269781
cg04742550,0.556453,0.82778,0.3815,0.027269,0.026271,0.028912,0.118411
cg04753163,0.454289,0.120623,0.056368,0.054994,0.060998,0.052095,0.160063
cg04754652,0.105488,0.057929,0.060053,0.332372,0.143441,0.079558,0.562755
cg04790874,0.045779,0.431095,0.234356,0.162333,0.179359,0.74647,0.315975
cg04797323,0.059957,0.152262,0.170791,0.060611,0.063292,0.3531,0.07583
cg04812347,0.069601,0.058398,0.076379,0.050959,0.0503,0.25978,0.085079
cg04813697,0.900154,0.577826,0.475237,0.542575,0.734118,0.11983,0.601657
cg04839131,0.218575,0.225986,0.225874,0.202715,0.198749,0.186074,0.494049
cg04852339,0.879736,0.681759,0.712579,0.676802,0.690396,0.551735,0.559293
cg04892187,0.884036,0.456004,0.513751,0.641802,0.682723,0.667614,0.657152
cg04894705,0.082479,0.059138,0.084881,0.083963,0.073069,0.280265,0.101955
cg04958055,0.845843,0.483957,0.317572,0.049109,0.123506,0.544053,0.473955
cg04987734,0.039046,0.053775,0.063416,0.255221,0.15051,0.243463,0.617023
cg05100282,0.150694,0.120585,0.163625,0.140432,0.152485,0.340648,0.163929
cg05110225,0.552846,0.372163,0.397419,0.050971,0.06256,0.326368,0.334847
cg05185926,0.117334,0.147103,0.372983,0.039619,0.046734,0.092333,0.076361
cg05193538,0.107989,0.124946,0.127075,0.140293,0.134396,0.310867,0.14036
cg05213896,0.064432,0.069878,0.086357,0.05369,0.062208,0.314951,0.100698
cg05234326,0.062406,0.139412,0.075938,0.061717,0.059706,0.11618,0.438129
cg05249479,0.640896,0.090413,0.148066,0.045662,0.050861,0.053177,0.194424
cg05254518,0.648987,0.087083,0.217395,0.061011,0.061033,0.057002,0.197315
cg05264101,0.622995,0.50841,0.451524,0.601116,0.583377,0.834737,0.422298
cg05289892,0.247741,0.057542,0.057409,0.050894,0.056759,0.059109,0.062861
cg05307957,0.307032,0.057733,0.07763,0.065337,0.062509,0.093916,0.098048
cg05428701,0.067718,0.10569,0.111152,0.090927,0.093102,0.472107,0.196436
cg05496203,0.054477,0.060996,0.063419,0.042013,0.048889,0.278718,0.059772
cg05504117,0.221608,0.218501,0.190123,0.237744,0.24424,0.407372,0.220284
cg05520031,0.109392,0.305113,0.492749,0.161478,0.158357,0.301768,0.12888
cg05581469,0.264742,0.509682,0.519114,0.075038,0.078712,0.708005,0.369648
cg05596756,0.127118,0.036261,0.037724,0.145856,0.04609,0.073358,0.468694
cg05614346,0.112418,0.081803,0.082538,0.083124,0.086213,0.085793,0.457123
cg05627733,0.722747,0.335702,0.321109,0.394043,0.53151,0.339368,0.497677
cg05711036,0.155719,0.157546,0.129802,0.1087,0.111644,0.376788,0.125601
cg05711445,0.056149,0.076959,0.165848,0.054147,0.058743,0.464803,0.130405
cg05731808,0.153649,0.149809,0.141594,0.120348,0.11612,0.304598,0.123408
cg05768044,0.12936,0.437125,0.625193,0.094231,0.092719,0.137337,0.083873
cg05828925,0.232657,0.036027,0.03686,0.288736,0.277248,0.517086,0.179917
cg05928537,0.743371,0.310168,0.259572,0.363584,0.413722,0.341917,0.475114
cg05960677,0.71007,0.351025,0.451369,0.165738,0.319577,0.366227,0.137919
cg05979232,0.080013,0.070624,0.074768,0.074074,0.077243,0.078975,0.293503
cg05981785,0.469655,0.268347,0.335695,0.356963,0.38958,0.680753,0.292503
cg06003184,0.92438,0.233288,0.440233,0.591841,0.420945,0.657905,0.336937
cg06061966,0.809509,0.210131,0.550095,0.286254,0.331232,0.531525,0.582063
cg06079564,0.914616,0.117343,0.138678,0.394015,0.708786,0.184883,0.677144
cg06083200,0.797386,0.379605,0.472248,0.445457,0.595343,0.635385,0.28716
cg06083669,0.190798,0.452104,0.27716,0.185893,0.168721,0.29818,0.136866
cg06092310,0.056161,0.069201,0.06863,0.119997,0.091957,0.307813,0.09462
cg06101180,0.16359,0.324007,0.264004,0.14102,0.160206,0.674526,0.194824
cg06130354,0.261631,0.048759,0.052168,0.050173,0.050307,0.050057,0.108045
cg06136199,0.273677,0.642541,0.792799,0.159272,0.186571,0.346878,0.176668
cg06139259,0.497142,0.068686,0.085529,0.171635,0.121606,0.077333,0.122527
cg06175008,0.096048,0.440474,0.381444,0.112584,0.148774,0.676253,0.439583
cg06178669,0.05262,0.147467,0.17009,0.553618,0.31592,0.090084,0.284235
cg06180389,0.81044,0.290272,0.314442,0.553175,0.614616,0.468031,0.430653
cg06236061,0.448584,0.095844,0.164053,0.126262,0.120252,0.199794,0.256469
cg06236559,0.056468,0.067098,0.08811,0.05404,0.060543,0.324096,0.077324
cg06280059,0.872956,0.694439,0.640395,0.686058,0.498673,0.171873,0.247729
cg06315974,0.726985,0.311983,0.282068,0.186733,0.247698,0.48908,0.512511
cg06342416,0.061312,0.086262,0.069097,0.057884,0.056835,0.074251,0.345974
cg06346335,0.808668,0.122744,0.143469,0.604107,0.641256,0.410355,0.213565
cg06358171,0.186641,0.085053,0.078268,0.091992,0.126519,0.45603,0.172476
cg06362313,0.779125,0.434321,0.524705,0.44347,0.54621,0.529272,0.506904
cg06394247,0.361,0.101134,0.09735,0.074233,0.073375,0.077931,0.099002
cg06399735,0.823875,0.336647,0.380132,0.217215,0.105049,0.403898,0.277615
cg06470626,0.471844,0.080582,0.07049,0.08486,0.075997,0.1912,0.141556
cg06512263,0.791713,0.504023,0.478215,0.060913,0.070236,0.485699,0.476043
cg06513247,0.320098,0.061936,0.072823,0.686785,0.463161,0.375086,0.405369
cg06528575,0.075932,0.083051,0.082394,0.076238,0.079813,0.239913,0.089408
cg06535156,0.621471,0.418113,0.42117,0.340431,0.404187,0.456539,0.39917
cg06575692,0.885854,0.611159,0.301451,0.528053,0.614901,0.306206,0.719149
cg06601071,0.108179,0.084101,0.077531,0.478812,0.236859,0.318568,0.22424
cg06618474,0.486205,0.481257,0.668546,0.335548,0.35235,0.206296,0.289128
cg06635797,0.337794,0.160064,0.119875,0.180647,0.102089,0.146878,0.167866
cg06637812,0.096972,0.055552,0.057219,0.090978,0.076615,0.238302,0.561087
cg06647068,0.600615,0.726737,0.881852,0.478005,0.442529,0.44743,0.352684
cg06663310,0.342593,0.346749,0.358927,0.334867,0.341128,0.532989,0.284189
cg06671450,0.399082,0.133642,0.145243,0.114251,0.124157,0.130464,0.143101
cg06677021,0.433812,0.097291,0.120354,0.319016,0.310836,0.676487,0.42023
cg06689816,0.262678,0.521614,0.695388,0.055624,0.061461,0.389611,0.236774
cg06722639,0.72187,0.08961,0.091892,0.346408,0.407164,0.387814,0.531944
cg06748434,0.16793,0.36997,0.572316,0.131608,0.17078,0.048774,0.111473
cg06760830,0.111701,0.095439,0.112736,0.09733,0.095736,0.285957,0.103919
cg06783197,0.860857,0.474465,0.431203,0.65469,0.653793,0.386267,0.46962
cg06796713,0.063251,0.085215,0.070686,0.049628,0.046845,0.337837,0.071503
cg06811467,0.34721,0.353909,0.44047,0.357191,0.285525,0.632862,0.2302
cg06816239,0.282288,0.20189,0.256967,0.34123,0.205593,0.590058,0.251894
cg06838038,0.864927,0.144079,0.153284,0.44915,0.499948,0.480987,0.268179
cg06854197,0.218346,0.306827,0.4653,0.199279,0.192185,0.215116,0.186434
cg06854264,0.221067,0.31878,0.371607,0.197638,0.209233,0.528661,0.224533
cg06912304,0.137786,0.03871,0.057855,0.07952,0.04492,0.415383,0.086025
cg06928797,0.86021,0.433165,0.511069,0.202218,0.194241,0.23122,0.330681
cg06937549,0.876148,0.10567,0.104538,0.300858,0.681644,0.27897,0.487979
cg06943912,0.474116,0.052424,0.093918,0.034488,0.051696,0.273366,0.272328
cg07018090,0.024246,0.524246,0.465664,0.872605,0.136147,0.371828,0.677315
cg07048516,0.484528,0.598659,0.531537,0.231628,0.289916,0.773667,0.407615
cg07065759,0.060531,0.099926,0.090032,0.056042,0.061482,0.550407,0.113892
cg07068735,0.533159,0.186818,0.267013,0.055114,0.061693,0.149171,0.150309
cg07101841,0.04324,0.044088,0.091773,0.042004,0.041858,0.283422,0.079639
