F1,TS222,TS223,TS224,TS225,TS226,TS227,TS228,TS230,TS231,TS232,TS233,TS234,TS235,TS236,TS237,TS239,TS240,TS241,TS242,TS243,TS244,TS245,TS246,TS247
cg00221794,0.630622286,0.592768978,0.704112186,0.631994962,0.655824796,0.712362532,0.675571425,0.676035577,0.670492618,0.608455226,0.689935587,0.686046953,0.63120081,0.584649644,0.605991894,0.65345856,0.646085414,0.614960257,0.67020456,0.637181963,0.682771354,0.587458661,0.667787655,0.601357696
cg00232402,0.143569781,0.126563431,0.116201245,0.124314606,0.122823371,0.1132562,0.104983037,0.131591849,0.135767107,0.113531748,0.111205446,0.10862523,0.112337122,0.193701759,0.149700226,0.16275978,0.159915408,0.147848887,0.11092876,0.147197144,0.09748383,0.180120269,0.125232556,0.134742082
cg00244001,0.378929445,0.373436557,0.330551355,0.367827721,0.35400115,0.332391057,0.356286447,0.35942813,0.362815936,0.38289125,0.334660963,0.345150836,0.362764915,0.397813644,0.373813773,0.365923979,0.366735537,0.395931231,0.33913685,0.422588333,0.362852349,0.396086383,0.384927212,0.374167059
cg00252472,0.32132728,0.28549672,0.307293837,0.282019044,0.2653562,0.306285017,0.32850594,0.271094161,0.270561296,0.306492582,0.270473707,0.282135354,0.315294786,0.23670831,0.276150474,0.320732927,0.257581272,0.286012966,0.312416931,0.277248316,0.328968297,0.264657204,0.29514087,0.292805754
cg00294109,0.283008174,0.279673573,0.214262013,0.266793997,0.246327009,0.23147876,0.284706841,0.263979824,0.289771251,0.272623438,0.221737359,0.26062353,0.223352554,0.254958721,0.278934234,0.299419734,0.2672684,0.312670189,0.284216719,0.284797925,0.306425911,0.263919689,0.295987147,0.226728156
cg00320288,0.159234616,0.146525176,0.155049238,0.126278616,0.148067144,0.175290298,0.1178899,0.140248238,0.134413587,0.182914375,0.125096577,0.160081878,0.141269138,0.209333523,0.175967718,0.147100306,0.162507077,0.12534182,0.133965686,0.19460205,0.159181157,0.150165452,0.148868254,0.159843982
cg00324097,0.401956197,0.396931359,0.469635313,0.438395175,0.467208376,0.489183151,0.444246521,0.447859924,0.395141935,0.402665679,0.486362405,0.455446782,0.447769057,0.441797641,0.391538777,0.420033012,0.413340721,0.378066881,0.447591736,0.362774898,0.479721082,0.390105788,0.400346452,0.413494916
cg00335124,0.431382277,0.436714355,0.362308319,0.379859932,0.394456503,0.32905761,0.367995623,0.379001213,0.351801571,0.457746468,0.339072721,0.346755976,0.426103298,0.343571135,0.390977424,0.397767308,0.382707933,0.438623689,0.380728516,0.458022509,0.385505517,0.458569874,0.428381997,0.476007847
cg00360761,0.275813334,0.333019251,0.264457686,0.307522148,0.294200522,0.276385881,0.322526968,0.330266948,0.32194976,0.342153095,0.306028478,0.288487907,0.288751552,0.263352408,0.250229658,0.318361539,0.260102561,0.310130671,0.277592962,0.332943714,0.31522545,0.302675254,0.276449504,0.322676837
cg00375132,0.660367244,0.618449496,0.647381093,0.627516294,0.617320885,0.680723262,0.688662216,0.631617817,0.614194889,0.626559352,0.654325429,0.677613285,0.683796849,0.656178925,0.640561927,0.676305271,0.614927395,0.599538712,0.662552788,0.609629613,0.673511199,0.627424315,0.605265434,0.62977694
cg00388871,0.468709906,0.444139902,0.392768643,0.41530864,0.436625064,0.364898941,0.457515204,0.452078532,0.458364956,0.451745544,0.358069523,0.393572463,0.380757914,0.474950172,0.439764681,0.429691452,0.414246236,0.467020035,0.431092175,0.514112577,0.408547625,0.492727536,0.44944882,0.436738838
cg00423486,0.317588234,0.317440391,0.305479369,0.310354218,0.333122002,0.304000463,0.286441222,0.289975434,0.302642939,0.323908906,0.306565359,0.28446074,0.323917236,0.360695133,0.324254075,0.30555979,0.306408805,0.296057057,0.313117454,0.315794911,0.297085749,0.331420759,0.30045491,0.315764478
cg00458681,0.429240597,0.430258693,0.387923645,0.492517052,0.371659389,0.450124929,0.452471222,0.418419247,0.352135475,0.397864444,0.358919775,0.455600353,0.44097588,0.40400097,0.30410984,0.427699771,0.373059318,0.395349248,0.32449545,0.324217567,0.471671135,0.374792042,0.262638854,0.471526498
cg00463732,0.438319786,0.490090371,0.414763238,0.456882506,0.473050706,0.408390256,0.423831512,0.414932271,0.425813032,0.480385408,0.439253158,0.401574236,0.450002628,0.42304821,0.466060698,0.436913794,0.44529481,0.486218985,0.44355898,0.478650776,0.424733993,0.491137761,0.433111762,0.456617163
cg00502597,0.310438179,0.315175706,0.352477064,0.313013309,0.339433169,0.365062563,0.350679499,0.330445074,0.306229487,0.322880726,0.346881355,0.345192722,0.373272537,0.320287127,0.307025222,0.355739392,0.29835263,0.300533582,0.343701391,0.293210147,0.358335373,0.309051167,0.342463724,0.338370956
cg00504599,0.517623397,0.524792659,0.47334934,0.495574888,0.498212845,0.46324515,0.499087747,0.500142585,0.512197252,0.530153355,0.48022774,0.448623223,0.482130271,0.458130727,0.5003853,0.516376492,0.478955631,0.55978156,0.491434747,0.585117316,0.493839224,0.537732782,0.545229532,0.500310078
cg00522276,0.362113487,0.396683233,0.388093921,0.395471188,0.424700936,0.426749478,0.428924865,0.37614273,0.406890896,0.374466428,0.412305166,0.410973746,0.412103807,0.364977533,0.382036181,0.405325178,0.393847047,0.43622146,0.379021047,0.393655331,0.40382341,0.409493533,0.394250297,0.372040047
cg00522883,0.090476503,0.11110331,0.104785966,0.099761005,0.085205036,0.120197507,0.078583803,0.110242065,0.088112651,0.110947134,0.084706288,0.156154345,0.09867759,0.167484056,0.120531277,0.124852611,0.125804883,0.099844806,0.098437914,0.131387566,0.101705904,0.092083705,0.101264028,0.112417743
cg00539347,0.290835679,0.309912314,0.251346374,0.277449956,0.256298142,0.241110876,0.212747352,0.308897881,0.299744106,0.270731826,0.228563659,0.267525392,0.24165342,0.251645513,0.29348024,0.261661304,0.270715557,0.327951411,0.297322118,0.373248646,0.242176158,0.321518209,0.349730303,0.295686471
cg00558804,0.133293824,0.13438917,0.112354174,0.140778798,0.128744037,0.123426224,0.127518225,0.126520717,0.129808941,0.133278862,0.136438364,0.121409091,0.133337627,0.132566648,0.129103557,0.132742219,0.129634731,0.120704522,0.144546989,0.112774697,0.144484152,0.14226643,0.128109742,0.119158547
cg00565090,0.528740258,0.528018949,0.521903253,0.518776267,0.55073621,0.517979321,0.540129549,0.543685459,0.528430986,0.545322911,0.529769598,0.538493546,0.529061296,0.548966869,0.529966011,0.549802901,0.53202047,0.557468438,0.521590509,0.541574489,0.535124898,0.554985162,0.520957573,0.553422822
cg00574379,0.412407166,0.387801767,0.368401933,0.369789113,0.400909432,0.336519593,0.359300433,0.359833592,0.354309282,0.417120794,0.331068689,0.361124495,0.366943073,0.319102789,0.346275533,0.360097965,0.328776768,0.396244452,0.372684173,0.342335733,0.384357126,0.351927265,0.390243468,0.428468917
cg00581764,0.200836477,0.21232013,0.1986556,0.187054256,0.193629145,0.181214012,0.174660593,0.187156114,0.204216694,0.208554217,0.173622036,0.217713101,0.208138576,0.238682281,0.205749861,0.21122148,0.211298069,0.207644497,0.196928076,0.22739793,0.18087209,0.230042958,0.197204765,0.190827566
cg00589520,0.269960067,0.26947343,0.259762863,0.255305622,0.271207925,0.258727912,0.269517754,0.26897277,0.248938879,0.2788013,0.25355587,0.233148349,0.268342512,0.324283315,0.270787332,0.260990207,0.299796719,0.30191517,0.259628362,0.287598135,0.249350117,0.300554905,0.256551975,0.255315073
cg00606312,0.187449602,0.201481656,0.120384116,0.144226016,0.126476473,0.126909826,0.166016311,0.149809828,0.201884405,0.167873582,0.12137522,0.164131196,0.123617355,0.188484476,0.189690266,0.198127986,0.187114864,0.198267343,0.125743269,0.235758234,0.145579992,0.195663629,0.185663237,0.176751719
cg00629585,0.279564065,0.212929918,0.224228448,0.204326188,0.249661075,0.192892033,0.205303003,0.20329228,0.177293785,0.208417965,0.194811745,0.261749489,0.237585662,0.406137711,0.334948363,0.238234526,0.263120007,0.24286963,0.155175193,0.318312432,0.168137219,0.350670976,0.237844601,0.238893144
cg00673344,0.493591269,0.481504598,0.422435223,0.442473825,0.41123296,0.365256072,0.390236296,0.490391756,0.488611076,0.407927543,0.390312917,0.426480769,0.397871454,0.507737843,0.459094624,0.461778903,0.514261045,0.491954334,0.432497939,0.550365505,0.452625188,0.547519753,0.48701459,0.50233585
cg00751332,0.363178669,0.362931648,0.402568277,0.349323614,0.355148443,0.327174076,0.332289055,0.335619369,0.34122587,0.35144634,0.363968204,0.373280057,0.375727434,0.413884624,0.393199413,0.323833576,0.354194937,0.309380178,0.375516131,0.363061684,0.361562729,0.346514987,0.359872725,0.377849753
cg00755950,0.083989327,0.076919587,0.077076983,0.065374702,0.085351017,0.07032309,0.07437884,0.069706868,0.064571421,0.079159166,0.058349307,0.089835231,0.071473398,0.116713392,0.099868136,0.088210096,0.094192939,0.085257269,0.059958292,0.070594123,0.054862176,0.10426119,0.072081637,0.073131201
cg00759427,0.093000276,0.084832164,0.10013795,0.083604566,0.071929539,0.085114726,0.065865104,0.076638343,0.081452307,0.081588221,0.071576053,0.099357961,0.110573555,0.173167299,0.141126719,0.112977333,0.133194212,0.067064679,0.06825514,0.113755657,0.081563583,0.144775561,0.082495412,0.088575857
cg00776174,0.147034682,0.21764342,0.143204493,0.143552166,0.152837329,0.118974136,0.143738839,0.146110934,0.144973414,0.174294351,0.13272337,0.188275981,0.207434728,0.181889702,0.150884317,0.160284659,0.173106545,0.180723267,0.172275811,0.220364409,0.145994946,0.217169426,0.147606536,0.124929322
cg00787726,0.300067636,0.303894776,0.213761323,0.283515401,0.270160019,0.225226146,0.286896263,0.24386354,0.255002734,0.301267535,0.205362849,0.231092014,0.298593483,0.213711249,0.22625734,0.258867551,0.236568641,0.308802432,0.254410342,0.255129903,0.286722336,0.290155872,0.26590487,0.286219565
cg00795812,0.435804798,0.44417503,0.509693574,0.468369996,0.477633545,0.519857396,0.457994039,0.463192938,0.440474567,0.450938468,0.511594567,0.492105071,0.479133457,0.467878141,0.458396419,0.47016073,0.459918572,0.420021691,0.506552742,0.421556663,0.504670977,0.443293342,0.45022905,0.454027962
cg00805193,0.525382016,0.552041336,0.526244452,0.546633149,0.55904459,0.529830604,0.54520814,0.542081597,0.57074786,0.53192054,0.50501299,0.499033451,0.522950629,0.478179752,0.477551447,0.536774572,0.498284476,0.564297908,0.535422862,0.560657775,0.556474129,0.542953535,0.542647146,0.5314967
cg00834924,0.076597057,0.082239424,0.069581292,0.08411781,0.079202813,0.07546701,0.08072998,0.071479195,0.078539817,0.098090617,0.076778826,0.072069513,0.080867325,0.065914972,0.078164338,0.090730557,0.06567122,0.081757718,0.072372974,0.078757037,0.092944975,0.076944892,0.082871851,0.083495682
cg00851088,0.19399456,0.235010585,0.186398754,0.203433883,0.192777538,0.166342315,0.152581737,0.203849543,0.209053688,0.20982768,0.160270815,0.217994302,0.198142576,0.183561491,0.217870682,0.216311129,0.210959375,0.237218163,0.203669048,0.237426991,0.160927576,0.227845242,0.243903794,0.232032185
cg00860090,0.134893748,0.137013779,0.119070227,0.142248385,0.14140152,0.125212306,0.119274907,0.121066968,0.119795159,0.153999629,0.128436958,0.136664679,0.146882503,0.134418828,0.135849311,0.139460166,0.122873438,0.113710294,0.129183919,0.115545814,0.136457647,0.129891142,0.129524535,0.127440817
cg00871371,0.312738979,0.323370506,0.378322157,0.33874309,0.357847969,0.385817282,0.314999188,0.311748732,0.311001574,0.343458692,0.37345021,0.364631144,0.398612086,0.359502508,0.315642496,0.341071734,0.319758675,0.273706651,0.385757366,0.290529908,0.385348957,0.283791413,0.326042905,0.346946717
cg00874051,0.517811654,0.425900843,0.366462362,0.43267961,0.417525342,0.364564279,0.386555815,0.421429051,0.430236045,0.493302109,0.346788844,0.3990214,0.414727537,0.474221368,0.528757555,0.444721568,0.46863018,0.474074206,0.417072333,0.56218205,0.43054464,0.53498495,0.461130089,0.450859189
cg00876273,0.164297227,0.156383056,0.128416957,0.127919137,0.140359924,0.11673759,0.143905341,0.117334553,0.136914966,0.171148489,0.107711615,0.129854851,0.15724622,0.200441816,0.163522326,0.126598219,0.142758979,0.128011064,0.149378828,0.191139241,0.112015107,0.166428764,0.121351832,0.114889758
cg00902153,0.373664586,0.343566522,0.297936276,0.342255127,0.324046728,0.316499946,0.337381004,0.318534271,0.320119849,0.38389813,0.314573089,0.305860024,0.337201131,0.429526721,0.384839029,0.369837365,0.355761299,0.34729108,0.317419242,0.398878,0.343159498,0.401756134,0.312540002,0.379991019
cg00903584,0.0901491,0.07712251,0.084881072,0.106225425,0.07989143,0.094126094,0.077954079,0.098929697,0.096467513,0.125305496,0.071768798,0.104691825,0.087401497,0.123021095,0.127442854,0.108134912,0.094564343,0.118211741,0.12052057,0.097972045,0.091448826,0.099704294,0.120773139,0.116628188
cg00908292,0.332558935,0.332542919,0.323669629,0.34752146,0.32380772,0.346152362,0.320902206,0.319299098,0.315575447,0.332584026,0.331424915,0.352130825,0.358396868,0.381446648,0.336039842,0.324533358,0.347000961,0.306190674,0.339737117,0.356848348,0.343508512,0.358059547,0.305345384,0.30269163
cg00916899,0.103239367,0.096549889,0.076486794,0.12434842,0.110903497,0.068174157,0.094250123,0.075643568,0.075986025,0.130735727,0.075440242,0.092453503,0.114610156,0.088313134,0.093590526,0.105733928,0.068936418,0.079952609,0.082405867,0.10891403,0.106247521,0.111319138,0.124327427,0.103888517
cg00917251,0.166965423,0.168007256,0.183641503,0.164196682,0.16486811,0.183136006,0.187745172,0.169345464,0.154497638,0.164720831,0.178481485,0.174361384,0.175561378,0.21236539,0.181610115,0.200370133,0.187028194,0.142121235,0.179709083,0.176171599,0.176917093,0.198970997,0.157772276,0.168096933
cg00937359,0.54102955,0.521922626,0.556593844,0.515459297,0.528995472,0.587824365,0.557008695,0.518624075,0.485727792,0.483836799,0.521087878,0.577849855,0.571460142,0.523591384,0.51904522,0.538216428,0.517753095,0.498228743,0.572044205,0.477450184,0.563264691,0.520863107,0.507639868,0.499788976
cg00974255,0.40338886,0.399759986,0.454016274,0.427839365,0.459069295,0.475696524,0.382404064,0.406684271,0.381699301,0.419698155,0.397487838,0.454362434,0.475070924,0.350437023,0.380740804,0.4220152,0.409015967,0.41120762,0.445899566,0.348238308,0.459922439,0.357838086,0.40570898,0.432850124
cg01044025,0.404186095,0.439691363,0.365619137,0.428275603,0.388091777,0.365489148,0.376807707,0.373267496,0.352529865,0.425637824,0.362076822,0.401570945,0.409735392,0.335855274,0.393256816,0.397978824,0.345436921,0.395565443,0.406959991,0.36088732,0.421118877,0.359100495,0.400240064,0.43575902
cg01054402,0.373954585,0.370417063,0.288155169,0.340904242,0.28185806,0.295305923,0.303039967,0.294605174,0.287674386,0.345679875,0.281749921,0.271314946,0.333436506,0.377604532,0.351985876,0.332269802,0.320504464,0.343517001,0.296797638,0.353330634,0.312792876,0.39731992,0.304599739,0.365941143
cg01059398,0.440684242,0.462167538,0.532145461,0.443229406,0.50508425,0.52510403,0.523190199,0.484043987,0.501719784,0.476177592,0.47485672,0.538289239,0.475101897,0.519389617,0.457853255,0.486683145,0.484272962,0.47258565,0.50036182,0.450788831,0.468398429,0.462473855,0.445688564,0.431927995
cg01119319,0.672176793,0.63981549,0.686781786,0.686795553,0.663850268,0.618442167,0.654642007,0.671862791,0.667595989,0.641593541,0.597592197,0.682860626,0.649298796,0.581055072,0.625219706,0.620809455,0.622974515,0.660915663,0.646758647,0.656881188,0.610135567,0.677312182,0.65412749,0.692007275
cg01133215,0.197779783,0.212410403,0.196946101,0.248865226,0.24519223,0.221542082,0.223439337,0.205079123,0.196500838,0.256509743,0.24086089,0.224448867,0.222218364,0.196816385,0.222931826,0.208373033,0.176552824,0.189810265,0.206325311,0.205327556,0.21990971,0.204752407,0.213634662,0.231669868
cg01156249,0.307936395,0.282029858,0.222609945,0.269445438,0.248455837,0.219739116,0.247480065,0.22580347,0.267988393,0.310879904,0.222703223,0.212560395,0.26524202,0.264204736,0.272345696,0.25602334,0.293836021,0.278928232,0.224545047,0.333668029,0.256920399,0.29062932,0.253403475,0.255645349
cg01167274,0.07223472,0.059674348,0.0706874,0.062366827,0.08032193,0.072021719,0.071520212,0.077923642,0.066354815,0.087263393,0.054015563,0.062966414,0.070074064,0.073328653,0.059581659,0.07767199,0.051992561,0.058235054,0.066038599,0.065398904,0.076096507,0.056385921,0.061789539,0.067229632
cg01182455,0.441807277,0.488324164,0.486639681,0.476035098,0.472729288,0.484881355,0.470558115,0.492742815,0.453185822,0.485150372,0.502131681,0.478660538,0.482642515,0.409751974,0.429892174,0.482259418,0.420469979,0.442896511,0.473242209,0.4061914,0.50036405,0.427121744,0.424241556,0.507611522
cg01271455,0.309829339,0.344641647,0.340762562,0.319562038,0.321784493,0.262848562,0.29599845,0.233327505,0.345221318,0.271446775,0.360931717,0.336449031,0.24772528,0.332312116,0.394049962,0.363232307,0.461925029,0.298879818,0.281298992,0.424707038,0.312248483,0.386220488,0.369916887,0.318196309
cg01365766,0.475885449,0.448223711,0.457800611,0.451512802,0.444523794,0.446930287,0.436400614,0.435965287,0.440039086,0.448251769,0.470507254,0.449943376,0.460894578,0.448710943,0.447791197,0.459230491,0.43892694,0.459453882,0.474973845,0.428360808,0.477934413,0.45621823,0.431689464,0.460148679
cg01408486,0.299011294,0.293060504,0.26923245,0.270793728,0.287372671,0.249840736,0.242113061,0.279792234,0.278570913,0.291461012,0.245655835,0.27409382,0.267005291,0.319332656,0.305844802,0.282838723,0.289661458,0.316371903,0.299592552,0.330957436,0.253699998,0.320423363,0.30833475,0.284873377
cg01419914,0.489185899,0.502561214,0.509906384,0.437008419,0.486682488,0.515171037,0.508562729,0.485237602,0.497229705,0.525094981,0.486441067,0.507040356,0.563224468,0.544795867,0.490933033,0.533290274,0.493242998,0.484379073,0.546283504,0.52499756,0.466388512,0.506533976,0.463957067,0.431124186
cg01426808,0.25815832,0.273686763,0.250566528,0.319279858,0.352592741,0.306317767,0.327423119,0.256730021,0.263910217,0.299430794,0.302619953,0.254629189,0.259329206,0.280941096,0.307137443,0.278141628,0.233338829,0.364583564,0.267751691,0.295401683,0.24276129,0.35701753,0.281972145,0.332254888
cg01447281,0.155586052,0.102162445,0.11031459,0.114598536,0.147620634,0.140128887,0.089087899,0.110965599,0.10691198,0.130253547,0.089484979,0.105988798,0.123762292,0.276348923,0.210862394,0.138907428,0.200870406,0.108908622,0.099152654,0.18054249,0.110296251,0.23879921,0.109225917,0.149921924
cg01449715,0.251529448,0.246346442,0.216651018,0.258864053,0.2490305,0.202708888,0.211898118,0.254813861,0.250776556,0.26027301,0.207344744,0.247524777,0.217559095,0.240955514,0.263437951,0.247810838,0.256675388,0.274291084,0.242792913,0.299746974,0.209518372,0.273432224,0.275809431,0.235861605
cg01481646,0.312220763,0.303334646,0.344708552,0.295019666,0.326353239,0.33334615,0.314682983,0.311634102,0.311321779,0.323215499,0.32331362,0.339231204,0.320692506,0.262319114,0.286148858,0.326692723,0.289808844,0.283203422,0.31976354,0.267029947,0.333838906,0.278469728,0.30021269,0.337627333
cg01483139,0.169410531,0.170113902,0.138423081,0.13552424,0.180326326,0.138341675,0.119056797,0.140478299,0.126061999,0.147828186,0.143715278,0.143096274,0.153743101,0.128750806,0.118177025,0.145491275,0.132529594,0.169426138,0.169351288,0.162002654,0.142870558,0.188310074,0.110973389,0.16052195
cg01557792,0.140481214,0.151478719,0.122051035,0.140032283,0.152857751,0.138106258,0.107527746,0.144093593,0.121229428,0.162639389,0.114745621,0.162180929,0.155086065,0.207465037,0.149415719,0.151672879,0.153907314,0.137736497,0.13949125,0.157964403,0.129791434,0.186303609,0.133726221,0.155599795
cg01588224,0.663129556,0.651280128,0.667748652,0.640210382,0.642476648,0.626334118,0.658785924,0.672531227,0.660727557,0.602856408,0.600406016,0.653750025,0.618604466,0.642253025,0.625950216,0.637177565,0.668408457,0.677176434,0.625710887,0.672386084,0.657699671,0.644112523,0.671865187,0.672735329
cg01589580,0.404038337,0.363300369,0.3241166,0.345497939,0.348646866,0.302122424,0.381495469,0.368692457,0.34530296,0.303404536,0.300169576,0.328398215,0.350283617,0.299499813,0.34384719,0.362800059,0.346937258,0.396656398,0.367583364,0.413515605,0.368464352,0.396044479,0.390451412,0.301273004
cg01604601,0.050649938,0.05020625,0.04917648,0.061564987,0.044748745,0.050063596,0.058505429,0.039232545,0.037657053,0.074000467,0.042392083,0.053245554,0.062378624,0.037833239,0.047580776,0.066981255,0.037371348,0.053368902,0.045012564,0.046348502,0.058559502,0.046347355,0.061799238,0.062176878
cg01624414,0.180110451,0.201031695,0.203040904,0.186059316,0.219555579,0.198293929,0.16652538,0.167763856,0.17415681,0.204886229,0.200100847,0.211670921,0.221855125,0.305674863,0.2373681,0.206799424,0.229038237,0.211723483,0.206830094,0.273706366,0.171716031,0.265047706,0.21946583,0.187211661
cg01643441,0.102138538,0.10593667,0.105649338,0.086130901,0.084321127,0.109193263,0.119475462,0.115152745,0.072495763,0.095806773,0.081068312,0.108481529,0.103440144,0.074039612,0.085111601,0.133273383,0.087648484,0.090030684,0.101812966,0.107747429,0.120875427,0.088144243,0.112748606,0.106217961
cg01653727,0.12077717,0.121354953,0.145483579,0.11761689,0.110115713,0.126058986,0.139923258,0.105933383,0.142407069,0.128061688,0.125945411,0.135150286,0.131161453,0.167126332,0.139636491,0.143587389,0.136245432,0.123225059,0.121643356,0.139204452,0.123349218,0.151485253,0.120403044,0.120634412
cg01661567,0.411173811,0.38277706,0.395997771,0.413897732,0.393127471,0.426062195,0.419489629,0.414951963,0.376605079,0.439234851,0.337240589,0.400517543,0.416835028,0.359637945,0.365618457,0.440540944,0.364545166,0.414527658,0.443689718,0.372829246,0.439156804,0.414380922,0.414721812,0.428427273
cg01700462,0.29710293,0.322536363,0.262855306,0.277833741,0.28190615,0.275877145,0.225303793,0.265521758,0.294083085,0.31289597,0.238882289,0.310772596,0.278524648,0.408628168,0.352679994,0.311973976,0.329951559,0.310148657,0.260316256,0.367138783,0.255255836,0.36304599,0.291206414,0.322282347
cg01710351,0.13436322,0.171838595,0.141298268,0.165372973,0.16168278,0.141046985,0.140878363,0.126298419,0.131222046,0.140509968,0.162688686,0.172467806,0.175049176,0.222423849,0.181073334,0.144780275,0.180292275,0.142490705,0.123576928,0.156773835,0.172787714,0.192914611,0.134678496,0.160705713
cg01715901,0.08274263,0.08756066,0.069131861,0.092081158,0.067494344,0.067053848,0.072495558,0.095310915,0.064978152,0.106803143,0.065363183,0.065221608,0.071213073,0.068786498,0.066242461,0.077889924,0.065600673,0.095304189,0.0608933,0.086764481,0.073419905,0.067975656,0.078462081,0.094226206
cg01722297,0.308901297,0.34837608,0.256000128,0.345381991,0.260247996,0.233155196,0.294901244,0.277116458,0.228628291,0.371138382,0.293494428,0.222287594,0.302453873,0.253267767,0.2866963,0.322024455,0.199985444,0.226230904,0.262721232,0.293858853,0.336126561,0.281301924,0.275253602,0.334406378
cg01749347,0.103391706,0.154761514,0.103696607,0.154517525,0.143269293,0.097496531,0.162603146,0.113810059,0.098209091,0.19210164,0.160303014,0.109894193,0.13985413,0.123368497,0.143017452,0.164228721,0.110806908,0.119593004,0.105089234,0.146029668,0.163351767,0.137481194,0.125265002,0.13403595
